,Team,salarycap,season
0,LAL,111767168,2012/13
1,BKN,97828818,2012/13
2,MIA,89773532,2012/13
3,NY,89270334,2012/13
4,BOS,84282350,2012/13
5,CHI,83147049,2012/13
6,GS,78175171,2012/13
7,SA,77953731,2012/13
8,DAL,77873331,2012/13
9,LAC,77188154,2012/13
10,OKC,76932970,2012/13
11,DET,76802817,2012/13
12,ATL,74461791,2012/13
13,PHI,74448020,2012/13
14,ORL,74291370,2012/13
15,IND,73788745,2012/13
16,UTA,73286873,2012/13
17,MIN,71804760,2012/13
18,NO,71586865,2012/13
19,TOR,71110922,2012/13
20,DEN,70816373,2012/13
21,MEM,70380900,2012/13
22,MIL,69661986,2012/13
23,WAS,66654386,2012/13
24,POR,66349730,2012/13
25,CHA,64876315,2012/13
26,CLE,60801765,2012/13
27,SAC,60745677,2012/13
28,PHO,60493782,2012/13
29,HOU,53631389,2012/13
0,BKN,112536402,2013/14
1,NY,97708684,2013/14
2,MIA,88679476,2013/14
3,LAL,84930083,2013/14
4,DAL,82284830,2013/14
5,CHI,80447143,2013/14
6,LAC,80132187,2013/14
7,GS,79532534,2013/14
8,MEM,78972831,2013/14
9,OKC,78600431,2013/14
10,TOR,78499777,2013/14
11,BOS,77758083,2013/14
12,MIN,75211546,2013/14
13,NO,73889290,2013/14
14,IND,73695967,2013/14
15,CLE,73116388,2013/14
16,DEN,72159850,2013/14
17,WAS,70971580,2013/14
18,SA,69235205,2013/14
19,DET,68436097,2013/14
20,POR,67199740,2013/14
21,CHA,66251205,2013/14
22,SAC,64911282,2013/14
23,ATL,64718790,2013/14
24,HOU,63429195,2013/14
25,ORL,62469324,2013/14
26,UTA,62429802,2013/14
27,PHO,60957107,2013/14
28,MIL,59675181,2013/14
29,PHI,56757794,2013/14
0,BKN,94375678,2014/15
1,LAC,91626808,2014/15
2,DAL,91154782,2014/15
3,CLE,88761039,2014/15
4,NY,87446049,2014/15
5,TOR,87390965,2014/15
6,OKC,86413604,2014/15
7,NO,85988398,2014/15
8,LAL,83337839,2014/15
9,HOU,82588574,2014/15
10,MIA,81474926,2014/15
11,MEM,80771746,2014/15
12,IND,80379271,2014/15
13,GS,79108608,2014/15
14,SAC,78859179,2014/15
15,WAS,78852628,2014/15
16,SA,76055480,2014/15
17,POR,75159876,2014/15
18,MIN,74560321,2014/15
19,CHI,72449358,2014/15
20,DET,72445049,2014/15
21,CHA,71781177,2014/15
22,BOS,66865124,2014/15
23,UTA,65391761,2014/15
24,ORL,64082446,2014/15
25,ATL,62675759,2014/15
26,PHO,62351628,2014/15
27,DEN,61063768,2014/15
28,MIL,58541453,2014/15
29,PHI,58414953,2014/15
0,CLE,116244698,2015/16
1,LAC,104136046,2015/16
2,OKC,102728953,2015/16
3,GS,100540577,2015/16
4,SA,94275703,2015/16
5,HOU,93922804,2015/16
6,CHI,93461027,2015/16
7,MIA,92055943,2015/16
8,WAS,91294262,2015/16
9,NO,89849758,2015/16
10,MEM,89328654,2015/16
11,BKN,86145542,2015/16
12,DET,82923025,2015/16
13,BOS,82800561,2015/16
14,CHA,82497971,2015/16
15,DAL,80927720,2015/16
16,NY,79682579,2015/16
17,MIL,79260236,2015/16
18,LAL,78026750,2015/16
19,DEN,77913691,2015/16
20,MIN,77589778,2015/16
21,ATL,76918414,2015/16
22,IND,76857739,2015/16
23,TOR,76842665,2015/16
24,SAC,75790104,2015/16
25,PHO,73090409,2015/16
26,PHI,69320632,2015/16
27,UTA,68274335,2015/16
28,ORL,67835576,2015/16
29,POR,66210692,2015/16
0,CLE,136587864,2016/17
1,POR,127245980,2016/17
2,LAC,121958281,2016/17
3,SA,119047406,2016/17
4,MEM,116991763,2016/17
5,TOR,115415114,2016/17
6,DET,113175909,2016/17
7,ORL,110629512,2016/17
8,WAS,110544093,2016/17
9,CHA,109521112,2016/17
10,NY,109031624,2016/17
11,DAL,108778205,2016/17
12,NO,107993343,2016/17
13,GS,107959743,2016/17
14,MIA,107062710,2016/17
15,ATL,102359377,2016/17
16,MIL,102285744,2016/17
17,SAC,101595433,2016/17
18,LAL,100729840,2016/17
19,BOS,99330698,2016/17
20,CHI,98328502,2016/17
21,OKC,96955191,2016/17
22,HOU,96663975,2016/17
23,IND,95944493,2016/17
24,PHO,95387098,2016/17
25,PHI,90095374,2016/17
26,DEN,89097579,2016/17
27,MIN,88769315,2016/17
28,BKN,87561919,2016/17
29,UTA,85167228,2016/17
0,CLE,144013233,2017/18
1,GS,143895289,2017/18
2,OKC,140679326,2017/18
3,MIA,139727484,2017/18
4,WAS,128938245,2017/18
5,NO,126332484,2017/18
6,MIL,126025887,2017/18
7,HOU,125382049,2017/18
8,DET,125243666,2017/18
9,LAC,124532419,2017/18
10,POR,124129975,2017/18
11,CHA,122743957,2017/18
12,TOR,122269961,2017/18
13,MIN,121376702,2017/18
14,BOS,120550249,2017/18
15,SA,119869587,2017/18
16,MEM,115756221,2017/18
17,DEN,112455503,2017/18
18,UTA,110430283,2017/18
19,NY,110217272,2017/18
20,LAL,107836717,2017/18
21,PHI,105401164,2017/18
22,ATL,104559718,2017/18
23,SAC,104135688,2017/18
24,ORL,103208254,2017/18
25,BKN,99836100,2017/18
26,IND,99623136,2017/18
27,PHO,96917295,2017/18
28,CHI,94598740,2017/18
29,DAL,89342606,2017/18
